IATA,Airline,Country,ID
K5,Aban Air,Iran,1
W9,Abelag Aviation,Belgium,2
M3,ABSA Cargo Airline,Brazil,3
MO,Abu Dhabi Amiri Flight,United Arab Emirates,4
GB,ABX Air,USA,5
9T,ACT Airlines,Turkey,6
ZY,Ada Air,Albania,7
JP,Adria Airways,Slovenia,8
A3,Aegean Airlines,Greece,9
RE,Aer Arann,Ireland,10
EI,Aer Lingus,Ireland,11
E4,Aero Asia International,Pakistan,12
EM,Aero Benin,Benin,13
7L,Aero Caribbean,Cuba,14
Q6,Aero Condor Peru,Peru,15
AJ,Aero Contractors,Nigeria,16
QL,Aero Lanka,Sri Lanka,17
M0,Aero Mongolia,Mongolia,18
W4,Aero Services Executive,France,19
DW,Aero-Charter Ukraine,Ukraine,20
SU,Aeroflot Russian Airlines,Russia,21
D9,Aeroflot-Don,Russia,22
5N,Aeroflot-Nord,Russia,23
KG,Aerogaviota,Cuba,24
AR,Aerolineas Argentinas,Argentina,25
2K,Aerolineas Galapagos,Ecuador,26
P4,Aerolineas Sosa,Honduras,27
3S,AeroLogic,Germany,28
VW,Aeromar,Mexico,29
AM,AeroMéxico,Mexico,30
5D,Aeroméxico Connect,Mexico,31
QO,Aeromexpress,Mexico,32
HT,Aeromist-Kharkiv,Ukraine,33
OT,Aeropelican Air Services,Australia,34
WL,Aeroperlas,Panama,35
VH,Aeropostal Alas de Venezuela,Venezuela,36
P5,AeroRepublica,Colombia,37
BF,Aero-Service,"Congo, Republic of",38
6N,AeroSucre,Colombia,39
5L,Aerosur,Bolivia,40
VV,Aerosvit Airlines,Ukraine,41
HC,Aero-Tropics Air Services,Australia,42
FK,Africa West,Togo,43
XU,African Express Airways,Kenya,44
6F,Afrijet Airlines,Nigeria,45
Q9,Afrinat International Airlines,Gambia,46
8U,Afriqiyah Airways,Libya,47
ZI,Aigle Azur,France,48
AH,Air Algerie,Algeria,49
GD,Air Alpha Greenland,Denmark,50
A6,Air Alps Aviation,Austria,51
G9,Air Arabia,United Arab Emirates,52
QN,Air Armenia,Armenia,53
KC,Air Astana,Kazakhstan,54
CC,Air Atlanta Icelandic,Iceland,55
KI,Air Atlantique,United Kingdom,56
UU,Air Austral,Reunion,57
BT,Air Baltic,Latvia,58
AB,Air Berlin,Germany,59
BP,Air Botswana,Botsuana,60
2J,Air Burkina,Burkina Faso,61
TY,Air Caledonie,New Caledonia (France),62
AC,Air Canada,Canada,63
QK,Air Canada Jazz,Canada,64
TX,Air Caraibes,Guadeloupe - French Antilles,65
2Q,Air Cargo Carriers,USA,66
NV,Air Central,Japan,67
CV,Air Chathams,New Zealand,68
CA,Air China,China - Peoples Republic,69
QD,Air Class Lineas Aereas,Uruguay,70
A7,Air Comet,Spain,71
AG,Air Contractors,Ireland,72
QC,Air Corridor,Mozambique,73
YN,Air Creebec,Canada,74
EN,Air Dolomiti,Italy,75
UX,Air Europa,Spain,76
PC,Air Fiji,Fiji,77
OF,Air Finland,Finland,78
AF,Air France,France,79
ZX,Air Georgian,Canada,80
7T,Air Glaciers,Switzerland,81
GL,Air Greenland,Denmark,82
LQ,Air Guinea Cargo,Equatorial Guinea,83
GG,Air Guyane Express,French Guiana,84
LD,Air Hong Kong,China - Peoples Republic,85
8C,Air Horizon,Togo,86
NY,Air Iceland,Iceland,87
AI,Air India,India,88
IX,Air India Express,India,89
CD,Air India Regional,India,90
3H,Air Inuit,Canada,91
I9,Air Italy,Italy,92
4Q,Air Italy Polska,Poland,93
VU,Air Ivoire,Ivory Coast,94
JM,Air Jamaica,Jamaica,95
NQ,Air Japan,Japan,96
0K,Air Kokshetau,Kazakhstan,97
JS,Air Koryo,North Korea,98
WJ,Air Labrador,Canada,99
7Q,Air Libya,Libya,100
NX,Air Macao,China - Peoples Republic,101
MD,Air Madagascar,Madagascar,102
QM,Air Malawi,Malawi,103
XG,Air Mali International,Mali,104
KM,Air Malta,Malta,105
CW,Air Marshall Islands,Marshall Islands,106
MK,Air Mauritius,Mauritius,107
DR,Air Mediterranee,France,108
MC,Air Mobility Command,USA,109
9U,Air Moldova,Moldova,110
SW,Air Namibia,Namibia,111
NZ,Air Nelson,New Zealand,112
7A,Air Next,Japan,113
EL,Air Nippon,Japan,114
EH,Air Nippon Network Co. Ltd.,Japan,115
PX,Air Niugini,Papua New Guinea,116
4N,Air North,Canada,117
YW,Air Nostrum,Spain,118
AP,Air One,Italy,119
FJ,Air Pacific,Fiji,120
3D,Air People International,Thailand,121
2P,Air Philippines,Philippines,122
EB,Air Pullmantur,Spain,123
PJ,Air Saint Pierre,Saint-Pierre and Miquelon,124
6O,Air Satellite,Canada,125
V7,Air Senegal International,Senegal,126
G8,Air Service Gabon,Gabon,127
HM,Air Seychelles,Seychelles,128
4D,Air Sinai,Egypt,129
GM,Air Slovakia,Slovakia,130
WO,Air Southwest,United Kingdom,131
YI,Air Sunshine,USA,132
VT,Air Tahiti,French Polynesia,133
TN,Air Tahiti Nui,French Polynesia,134
TS,Air Transat,Canada,135
JY,Air Turks and Caicos,Turks & Caicos,136
U7,Air Uganda,Uganda,137
3N,Air Urga,Ukraine,138
DO,Air Vallée,Italy,139
NF,Air Vanuatu,Vanuatu,140
VL,Air VIA,Bulgaria,141
ZW,Air Wisconsin,USA,142
ZT,Air Zambezi,Zimbabwe,143
UM,Air Zimbabwe,Zimbabwe,144
F8,Air2there,New Zealand,145
AK,AirAsia,Malaysia,146
D7,AirAsia X,Malaysia,147
RU,AirBridgeCargo Airlines,Russia,148
SB,Aircalin,New Caledonia (France),149
4C,"Aires, Aerovias de Integracion Regional, S.A.",Colombia,150
P2,Airkenya Express,Kenya,151
A5,Airlinair,France,152
FO,Airlines Of Tasmania,Australia,153
CG,Airlines PNG,Papua New Guinea,154
4Z,Airlink,South Africa,155
TL,Airnorth,Australia,156
PL,Airstars,Russia,157
FL,AirTran Airways,USA,158
6L,Aklak Air,Canada,159
2D,Alania Airlines,Russia,160
AS,Alaska Airlines,USA,161
KO,Alaska Central Express,USA,162
LV,Albanian Airlines,Albania,163
2B,"Albawings	",Albania,164
D4,Alidaunia,Italy,165
AZ,Alitalia,Italy,166
XM,Alitalia Express,Italy,167
NH,All Nippon Airways,Japan,168
G4,Allegiant Air,USA,169
LL,Allegro,Mexico,170
QQ,Alliance Airlines,Australia,171
6T,Almaty Aviation,Kazakhstan,172
KH,Aloha Air Cargo,USA,173
5A,Alpine Air Express,USA,174
6R,Alrosa Mirny Air Enterprise,Russia,175
Z8,Amaszonas,Bolivia,176
AA,American Airlines,USA,177
MQ,American Eagle Airlines,USA,178
A8,Ameriflight,USA,179
M6,Amerijet International,USA,180
WD,Amsterdam Airlines,Netherlands,181
9N,ANA & JP Express,Japan,182
OY,Andes Líneas Aéreas,Argentina,183
8G,Angel Airlines,Thailand,184
5F,Arctic Circle Air Service,USA,185
ZE,Arcus-Air Logistic,Germany,186
